Date,Open,High,Low,Close,Volume,Ticker
2018-01-02,39.77618586634448,40.276426884472016,39.56580192963127,40.26707458496094,102223600,AAPL
2018-01-03,40.330183509397145,40.80237468527682,40.19694358149866,40.26005554199219,118071600,AAPL
2018-01-04,40.33252478094121,40.5499211500562,40.224998308918046,40.44706726074219,89738400,AAPL
2018-01-05,40.542916251500806,40.99406667999924,40.451750935713896,40.90757751464844,94640000,AAPL
2018-01-08,40.75563049316406,41.05016372371372,40.65744918279034,40.75563049316406,82271200,AAPL
2018-01-09,40.802380620103136,40.92159568523213,40.53589715868877,40.750953674316406,86336000,AAPL
2018-01-10,40.477452652181725,40.743936079890894,40.440050593275295,40.74159622192383,95839600,AAPL
2018-01-11,40.81173298285246,41.02211693438228,40.78835936614299,40.973026275634766,74670800,AAPL
2018-01-12,41.18339796582762,41.459233692882485,41.05950676616482,41.3961181640625,101672400,AAPL
2018-01-16,41.585468671088606,41.933768721013166,41.17405664783749,41.18574523925781,118263600,AAPL
2018-01-17,41.17638686955348,41.90103662850465,40.92393187974709,41.86597442626953,137547200,AAPL
2018-01-18,41.92908718934309,42.09973275509077,41.66727989604684,41.90337371826172,124773600,AAPL
2018-01-19,41.75143564894141,41.97818075507873,41.47092730566695,41.71637344360352,129700400,AAPL
2018-01-22,41.44521953992409,41.55742217931307,41.28158994771982,41.375091552734375,108434400,AAPL
2018-01-23,41.44521681046371,41.94545785474811,41.33301417846406,41.38443756103516,130756400,AAPL
2018-01-24,41.43352385908979,41.44521244943131,40.486805111138345,40.72523880004883,204420400,AAPL
2018-01-25,40.79303875052221,40.89589266839285,39.862684472538135,39.99826431274414,166116000,AAPL
2018-01-26,40.20630887024904,40.20630887024904,39.752818536712894,40.09176635742188,156572000,AAPL
2018-01-29,39.77618297744424,39.77618297744424,39.05387305096097,39.26191711425781,202561600,AAPL
2018-01-30,38.6938794975192,39.12399245045376,38.499860340445615,39.03049087524414,184192800,AAPL
2018-01-31,39.007123526143936,39.374124613366014,38.92063436894064,39.13802719116211,129915600,AAPL
2018-02-01,39.07725255770871,39.41620032091382,38.98141109794126,39.219844818115234,188923200,AAPL
2018-02-02,38.80375590576933,38.990762671698725,37.42458769489759,37.5180892944336,346375200,AAPL
2018-02-05,37.19083407744985,38.30819507475602,36.46618412011472,36.58072662353516,290954000,AAPL
2018-02-06,36.19267842788692,38.270782705666,35.99865925194776,38.10948944091797,272975200,AAPL
2018-02-07,38.12352610597919,38.19599039124016,37.18382312265855,37.29368591308594,206434400,AAPL
2018-02-08,37.468984608667135,37.63495398759431,36.23942155748844,36.26747131347656,217562000,AAPL
2018-02-09,36.866003792290925,37.05846466441262,35.26292961094662,36.71109390258789,282690400,AAPL
2018-02-12,37.20162894435836,38.46671889580328,36.96926416827277,38.18976211547852,243278000,AAPL
2018-02-13,38.011387447072025,38.66857795561748,37.94097353876356,38.57234573364258,130196800,AAPL
2018-02-14,38.26721850010876,39.32341630642415,38.22966752219258,39.28351593017578,162579600,AAPL
2018-02-15,39.851515600178224,40.62606138201437,39.66609578151257,40.60259246826172,204588800,AAPL
2018-02-16,40.45472919022899,41.03211898521176,40.31625076142839,40.47115707397461,160704400,AAPL
2018-02-20,40.381959561813375,40.90066798371368,40.23409073734247,40.33501815795898,135722000,AAPL
2018-02-21,40.56503256469426,40.86780765643654,40.13785756271119,40.15194320678711,149886400,AAPL
2018-02-22,40.3232788393338,40.82790515976925,40.30215574641867,40.48757553100586,123967600,AAPL
2018-02-23,40.7622019110345,41.22692803805628,40.73168837767528,41.19172286987305,135249600,AAPL
2018-02-26,41.39122004619365,42.10473876856565,41.358360702033096,42.006160736083984,152648800,AAPL
2018-02-27,42.03667174392078,42.36056995083408,41.81604319718002,41.870025634765625,155712400,AAPL
2018-02-28,42.07421817804011,42.39342471689793,41.79022037577208,41.80664825439453,151128400,AAPL
2018-03-01,41.90522615725141,42.19626857117151,40.52513035651895,41.0743522644043,195208000,AAPL
2018-03-02,40.55799246886187,41.37947957033199,40.47584232615504,41.35835647583008,153816000,AAPL
2018-03-05,41.12364170727491,41.71745917963857,40.96169083637588,41.50152587890625,113605600,AAPL
2018-03-06,41.757370145425206,41.83717090219632,41.33958549950575,41.46632766723633,95154000,AAPL
2018-03-07,41.06027110203652,41.27385859802717,40.90301543683224,41.08139419555664,126814000,AAPL
2018-03-08,41.18701455610204,41.57193979190114,41.09078593320187,41.529693603515625,95096400,AAPL
2018-03-09,41.76910458230956,42.2479126835741,41.63531780640628,42.24321746826172,128740800,AAPL
2018-03-12,42.31596951674786,42.8088631745801,42.29719582170219,42.65160751342773,128828400,AAPL
2018-03-13,42.85580825010609,43.06939575890961,42.069529876916704,42.240867614746094,126774000,AAPL
