Date,Open,High,Low,Close,Volume,Ticker
2018-01-02,51.557466258613935,51.61678590936545,50.67422401556182,50.76650238037109,4009000,KHC
2018-01-03,50.970840922757496,51.1422121672284,50.68741305992444,50.75991821289063,3369300,KHC
2018-01-04,50.90494550681358,51.557487072481216,50.79288885105591,51.35315704345703,3608500,KHC
2018-01-05,51.438836701235566,51.629986234321386,50.90493957596512,51.3070068359375,4152500,KHC
2018-01-08,51.29380522654785,51.79474845066044,51.29380522654785,51.72883605957031,3126900,KHC
2018-01-09,51.76840833858604,51.88705271330959,51.44543394081467,51.82114028930664,3436500,KHC
2018-01-10,51.84091310531875,51.84091310531875,51.0169952397822,51.339969635009766,3823700,KHC
2018-01-11,51.42565267833793,51.54429704611857,50.76651841928887,50.83902359008789,3493700,KHC
2018-01-12,50.98403549194336,51.129045837979135,50.489684782528016,50.98403549194336,4223500,KHC
2018-01-16,51.392686172992136,52.018861551495874,51.12243878031966,51.83430480957031,5327800,KHC
2018-01-17,52.14409501460934,53.172342521754814,51.9331723200976,52.77686309814453,6547600,KHC
2018-01-18,52.83619918117944,53.12621480573118,52.08478157670933,52.24956512451172,3447200,KHC
2018-01-19,52.42094309252873,52.70437100493123,52.13751518012623,52.50663375854492,3749400,KHC
2018-01-22,52.61209652533634,53.02734929950632,52.57255007888072,52.84279251098633,3988300,KHC
2018-01-23,52.572532849257485,53.08006385135407,52.4407030229512,52.908687591552734,2833000,KHC
2018-01-24,53.0603114332963,53.11963110679111,52.53959473006064,52.638465881347656,3119600,KHC
2018-01-25,52.73073723874327,53.02405176348198,52.32339478785629,52.513221740722656,2927300,KHC
2018-01-26,52.66483039523647,52.73074281799987,51.676128967398974,52.32867050170898,4772400,KHC
2018-01-29,52.18365116587774,52.6516358243231,51.66952731656578,51.689300537109375,3280500,KHC
2018-01-30,51.834298012182,52.5066175167953,51.69588047388947,51.74201965332031,3334300,KHC
2018-01-31,51.82114351583549,51.992514823154096,51.31360725894139,51.66954040527344,4855700,KHC
2018-02-01,51.49156909114888,52.038646693266685,51.14881646721496,51.788177490234375,3119800,KHC
2018-02-02,51.49157328570289,51.63657860740005,50.52264506086076,50.87857818603516,5239700,KHC
2018-02-05,50.944479457570864,51.37225889211692,48.89127797223742,48.947303771972656,5372900,KHC
2018-02-06,48.6704688653212,48.98685550667452,47.49062302536203,48.980262756347656,7556400,KHC
2018-02-07,48.67047650052402,49.243925177839074,48.45955371613155,48.47933197021485,6753700,KHC
2018-02-08,48.51227698984414,48.80229765229311,46.9633125976457,47.18082809448242,8210800,KHC
2018-02-09,47.45766866942735,47.89269971271895,46.300889805976446,47.04900360107422,6871000,KHC
2018-02-12,47.14128224550587,47.8729217102896,47.09514304632111,47.33243179321289,4372900,KHC
2018-02-13,47.1412805193321,47.45107442914127,46.58761014938875,47.26651763916016,4043600,KHC
2018-02-14,47.02263485852964,47.48403184960333,46.60078934193356,47.40493392944336,5503100,KHC
