Ticker,Volatility_60D,Max_Drawdown,Risk_Score,Risk_Level
AAPL,0.0138291680286781,-0.3851590874914985,0.1181608090603633,Low
KHC,0.0157665254101849,-0.7200309559799261,0.5159894110954348,Medium
MCO,0.0149761237388836,-0.4201719496780037,0.19489539365725758,Low
GOOGL,0.0229283799290857,-0.4432005064829468,0.5131856511961992,Medium
KO,0.0118093936567302,-0.3698752222004661,0.0281413408899602,Low
CB,0.011053073590222,-0.4259167852771961,0.05451381589107212,Low
AXP,0.0147351186553491,-0.496385009771616,0.26006343632190665,Low
CVX,0.016428688408854,-0.5577392794818294,0.38275988440935493,Medium
BAC,0.0133165681045972,-0.4894681191274955,0.20055333307280018,Low
OXY,0.0244909561251304,-0.8838876992274881,1.0,High
