ticker,validation_year,rows,mae,rmse,directional_accuracy,hit_rate_vs_equal_weight,avg_actual_return_120d,avg_predicted_return_120d,avg_equal_weight_return_120d,avg_actual_excess_return_120d,avg_predicted_excess_return_120d
AAPL,2023,250,0.09988663929071066,0.14786169693131695,34.53815261044177,0.464,0.0786593755286423,0.06725319904211781,0.08426085874914381,-0.005601483220501493,-0.017007659707025974
AAPL,2024,252,0.16605741563936696,0.2017490797223935,30.677290836653388,0.6666666666666666,0.09884977450385739,0.05018838559610798,0.04628789129032462,0.052561883213532765,0.003900494305783371
AAPL,2025,238,0.17188334163284566,0.20927226347248687,36.28691983122363,0.5672268907563025,0.13290005863038853,0.0669615406814643,0.10672883165609873,0.026171226974289773,-0.03976729097463444
AXP,2023,250,0.21240961189268642,0.2844013994550859,34.53815261044177,0.604,0.17902275549751298,0.03712718980656639,0.08426085874914381,0.0947618967483692,-0.047133668942577416
AXP,2024,252,0.1236733718844151,0.14831202947051272,40.63745019920319,0.9563492063492064,0.15209084950225737,0.114029059757996,0.04628789129032462,0.10580295821193274,0.06774116846767139
AXP,2025,238,0.17232211461735764,0.19952924301169034,37.552742616033754,0.5798319327731093,0.09134002995416535,0.1250248701373479,0.10672883165609873,-0.015388801701933422,0.01829603848124916
BAC,2023,250,0.1837099991905923,0.23491272222022638,35.7429718875502,0.584,0.11247501311342793,-0.03362856951603581,0.08426085874914381,0.028214154364284125,-0.1178894282651796
BAC,2024,252,0.10578570263554744,0.12315902062062914,32.669322709163346,0.7936507936507936,0.10524382472035486,0.045411225150027074,0.04628789129032462,0.05895593343003025,-0.0008766661402975474
BAC,2025,238,0.13186538033813014,0.16797766057657249,35.86497890295359,0.6050420168067226,0.11921941148657662,0.08619477833105267,0.10672883165609873,0.012490579830477898,-0.020534053325046087
CB,2023,250,0.12740338197768203,0.1403488109113999,32.53012048192771,0.7,0.12122598788177294,0.04560841991442307,0.08426085874914381,0.03696512913262914,-0.03865243883472073
CB,2024,252,0.05164607287794541,0.06475921482819084,34.66135458167331,0.6388888888888888,0.06686428208129339,0.06712818715833162,0.04628789129032462,0.020576390790968773,0.020840295868006994
CB,2025,238,0.08448362526821161,0.10007343865627276,32.91139240506329,0.41596638655462187,0.07341549763945013,0.05709797965584608,0.10672883165609873,-0.033313334016648634,-0.049630852000252655
CVX,2023,250,0.11791337894698095,0.1338264429786833,34.53815261044177,0.068,-0.00506515079316489,0.0863894495428767,0.08426085874914381,-0.08932600954230868,0.0021285907937329007
CVX,2024,252,0.09438164235753557,0.10785563251570417,35.45816733067729,0.2896825396825397,0.002619623703455302,0.018975685538496448,0.04628789129032462,-0.04366826758686932,-0.02731220575182817
CVX,2025,238,0.1499470303267565,0.1810075856946296,33.755274261603375,0.5,0.13392201340506854,-0.001647930038605518,0.10672883165609873,0.027193181748969775,-0.10837676169470424
GOOGL,2023,250,0.184769300277017,0.22992733161247575,36.94779116465863,0.82,0.21256422066775205,0.04231593531880637,0.08426085874914381,0.12830336191860825,-0.04194492343033743
GOOGL,2024,252,0.11396028473873171,0.13676625231365386,37.05179282868526,0.5198412698412699,0.05982663402372805,0.06807305019315449,0.04628789129032462,0.013538742733403438,0.02178515890282987
GOOGL,2025,238,0.3417476625572581,0.4315466125794237,30.37974683544304,0.9117647058823529,0.422435068957654,0.13163702558954415,0.10672883165609873,0.3157062373015552,0.024908193933445413
KHC,2023,250,0.12654552252637968,0.14137456773982243,36.94779116465863,0.172,-0.010744701816611538,0.006653016059585103,0.08426085874914381,-0.09500556056575533,-0.0776078426895587
KHC,2024,252,0.09290853585648821,0.11171310109328458,29.880478087649404,0.0,-0.0779730389399115,0.002691011187992937,0.04628789129032462,-0.12426093023023611,-0.04359688010233169
KHC,2025,238,0.055449240017734595,0.0636049419414502,35.0210970464135,0.01680672268907563,-0.07360257701892126,-0.058989511454186745,0.10672883165609873,-0.18033140867501998,-0.1657183431102855
KO,2023,250,0.0706511944678212,0.09133731182676962,31.32530120481928,0.048,0.013701026136175866,0.029918455167091892,0.08426085874914381,-0.07055983261296794,-0.054342403582051904
KO,2024,252,0.10085629029832906,0.12222244395745518,29.08366533864542,0.5476190476190477,0.0793619345047388,0.0233677472987363,0.04628789129032462,0.033074043214414185,-0.02292014399158832
KO,2025,238,0.09462526190358723,0.11044434821474924,33.755274261603375,0.46218487394957986,0.06828217730314629,0.036480562740634735,0.10672883165609873,-0.038446654352952477,-0.07024826891546398
MCO,2023,250,0.09733800828667322,0.12368710224821548,34.93975903614458,0.812,0.1271356223010036,0.03891557638031327,0.08426085874914381,0.042874763551859776,-0.04534528236883053
MCO,2024,252,0.10411009279995853,0.13020999306161402,29.482071713147413,0.8095238095238095,0.10343047079576091,0.071400177952458,0.04628789129032462,0.0571425795054363,0.025112286662133377
MCO,2025,238,0.0992097380924077,0.11565892014075961,35.86497890295359,0.22268907563025211,0.0007722380014260915,0.07027774371698287,0.10672883165609873,-0.10595659365467265,-0.03645108793911586
OXY,2023,250,0.1569557949297677,0.17802517731189824,28.915662650602407,0.2,0.013634438974926773,0.17020237196262092,0.08426085874914381,-0.07062641977421703,0.08594151321347712
OXY,2024,252,0.1670418477698499,0.19050349942589992,31.07569721115538,0.015873015873015872,-0.1274354419922884,0.02385286566853206,0.04628789129032462,-0.17372333328261302,-0.022435025621792552
OXY,2025,238,0.1872955396234625,0.26113608388456605,37.552742616033754,0.3319327731092437,0.09860439820203315,-0.061856409528728964,0.10672883165609873,-0.008124433454065582,-0.16858524118482768
