strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,period_start,period_end
Selected top 5 monthly rebalance,1.2495327754181353,0.16183601695747907,0.169483200519081,0.9548794008009013,-0.22082913568813012,2021-01-05,2026-06-08
All 10 candidates monthly rebalance,1.58144173901665,0.1918006076180454,0.1623724080334218,1.181238918243833,-0.1778579814017991,2021-01-05,2026-06-08
