asset,max_drawdown,worst_drawdown_date,current_drawdown,cumulative_return
KHC,-0.7200309559799258,2020-03-12,-0.5610361655393281,-0.5425132854838998
GOOGL,-0.4432005064829466,2022-11-03,-0.09462344270302248,5.849273947476525
CB,-0.4259167852771959,2020-03-23,-0.055540910739668714,1.6112603882142813
MCO,-0.42017194967800375,2020-03-23,-0.17376330587895394,2.27526254503181
AAPL,-0.3851590874914992,2019-01-03,-0.014847788744010049,6.711511010279518
Selected risk-aware portfolio,-0.34634361481111997,2020-03-23,-0.019078500697970124,2.3535557204301565
