ticker,model,feature,importance,explainability_method
KHC,CatBoostClassifier,close_to_52w_high,24.464768290797707,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostClassifier,rolling_std_60,12.455464356348232,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostClassifier,close_to_52w_low,8.878161325313911,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostClassifier,dollar_volume_20,7.570281269893337,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostClassifier,sma_100,4.639962659391805,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostRegressor,close_to_52w_high,19.264614757593044,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostRegressor,close_to_52w_low,13.656526577142046,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostRegressor,atr_14,9.134491317609896,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostRegressor,dollar_volume_20,8.636089775833334,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,CatBoostRegressor,sma_100,7.094451737051101,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,RandomForest,close_to_52w_high,0.1988752477538626,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,RandomForest,atr_14,0.1628214955091945,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,RandomForest,close_to_52w_low,0.1029882782854668,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,RandomForest,dollar_volume_20,0.097190266023812,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
KHC,RandomForest,macd,0.0524770315848704,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostClassifier,close_to_52w_low,12.044842786158686,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostClassifier,dollar_volume_20,10.59344432137006,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostClassifier,rolling_std_60,10.36806337595498,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostClassifier,rolling_std_20,8.458781448066299,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostClassifier,bb_bandwidth_20,5.492191685617248,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostRegressor,close_to_52w_low,17.44618895681395,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostRegressor,dollar_volume_20,12.241104281998489,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostRegressor,obv,8.827291658216632,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostRegressor,rolling_std_60,8.406319390632758,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,CatBoostRegressor,price_position_252d,8.155929068261804,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,RandomForest,dollar_volume_20,0.1446045866569786,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,RandomForest,close_to_52w_low,0.1309239850422328,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,RandomForest,rolling_std_60,0.078136216254022,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,RandomForest,rolling_std_20,0.0771763231295944,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
MCO,RandomForest,obv,0.0693163699030742,Feature importance proxy; SHAP dapat ditambahkan jika model disimpan.
