ticker,model,feature,importance
AAPL,CatBoostClassifier,open_close_spread,0.2673384565444925
AAPL,CatBoostClassifier,sma_5,0.8581427495348022
AAPL,CatBoostClassifier,sma_10,0.35676204177935233
AAPL,CatBoostClassifier,sma_20,0.45917277180285104
AAPL,CatBoostClassifier,sma_50,1.7710865540522505
AAPL,CatBoostClassifier,sma_100,4.1497422911321005
AAPL,CatBoostClassifier,ema_12,0.2680293947930998
AAPL,CatBoostClassifier,ema_26,0.4706974729024461
AAPL,CatBoostClassifier,rsi_14,0.7841650611165725
AAPL,CatBoostClassifier,macd,1.1387698474805301
AAPL,CatBoostClassifier,macd_signal,1.2150336349083752
AAPL,CatBoostClassifier,macd_hist,0.7127200479819608
AAPL,CatBoostClassifier,momentum_10,3.0456170430971263
AAPL,CatBoostClassifier,roc_10,0.7451954398162524
AAPL,CatBoostClassifier,roc_20,0.7850013172692459
AAPL,CatBoostClassifier,roc_60,2.813781853965904
AAPL,CatBoostClassifier,stoch_k_14,0.17642050401160644
AAPL,CatBoostClassifier,stoch_d_3,0.5135059977845514
AAPL,CatBoostClassifier,williams_r_14,0.246383159864026
AAPL,CatBoostClassifier,cci_20,0.5533725262258699
AAPL,CatBoostClassifier,bb_percent_b_20,0.3578932070188208
AAPL,CatBoostClassifier,bb_bandwidth_20,1.8563657611634867
AAPL,CatBoostClassifier,donchian_pos_20,0.5008823778575698
AAPL,CatBoostClassifier,rolling_std_10,1.212136649607243
AAPL,CatBoostClassifier,rolling_std_20,3.3696427140553458
AAPL,CatBoostClassifier,rolling_std_60,12.620686484380016
AAPL,CatBoostClassifier,atr_14,1.5274221242380521
AAPL,CatBoostClassifier,adx_14,4.937927090949018
AAPL,CatBoostClassifier,sharpe_20,0.7850528598241254
AAPL,CatBoostClassifier,sharpe_60,2.9533703886314724
AAPL,CatBoostClassifier,volume_change,0.1852839265538564
AAPL,CatBoostClassifier,volume_sma_20,0.70331883424185
AAPL,CatBoostClassifier,volume_zscore_20,1.3817930283792783
AAPL,CatBoostClassifier,dollar_volume_20,12.427592127520654
AAPL,CatBoostClassifier,obv,5.468217475818038
AAPL,CatBoostClassifier,close_to_52w_high,2.6864942499760684
AAPL,CatBoostClassifier,close_to_52w_low,19.96744526659012
AAPL,CatBoostClassifier,price_position_252d,2.916270616840791
AXP,RandomForest,return_1d,0.00016283344866321347
AXP,RandomForest,return_5d,0.000703283377657237
AXP,RandomForest,return_10d,0.0010189931161425844
AXP,RandomForest,return_20d,0.0014343107022092314
AXP,RandomForest,log_return_1d,0.00019625831215482607
AXP,RandomForest,price_change,0.00025451135940253303
AXP,RandomForest,high_low_spread,0.0019639103388311018
AXP,RandomForest,open_close_spread,0.00012031792713202326
AXP,RandomForest,sma_5,0.0009616847801107345
AXP,RandomForest,sma_10,0.000971143132140971
AXP,RandomForest,sma_20,0.0015518953719335193
AXP,RandomForest,sma_50,0.0061559620375820565
AXP,RandomForest,sma_100,0.014678482263876776
AXP,RandomForest,ema_12,0.001205601382768341
AXP,RandomForest,ema_26,0.0009540924230172804
AXP,RandomForest,rsi_14,0.0024139408723803622
AXP,RandomForest,macd,0.006789969738194624
AXP,RandomForest,macd_signal,0.008250215278697993
AXP,RandomForest,macd_hist,0.006101276356857298
AXP,RandomForest,momentum_10,0.002763680179930534
AXP,RandomForest,roc_10,0.000574034581212881
AXP,RandomForest,roc_20,0.001073330083321696
AXP,RandomForest,roc_60,0.030891101509599797
AXP,RandomForest,stoch_k_14,0.0001764897520410341
AXP,RandomForest,stoch_d_3,0.0004963239577826535
AXP,RandomForest,williams_r_14,0.00031516976979001414
AXP,RandomForest,cci_20,0.005132442011718379
AXP,RandomForest,bb_percent_b_20,0.0008776272897899777
AXP,RandomForest,bb_bandwidth_20,0.008037939930820453
AXP,RandomForest,donchian_pos_20,0.0011032658290691009
AXP,RandomForest,rolling_std_10,0.00488444268185987
AXP,RandomForest,rolling_std_20,0.015157614291924441
AXP,RandomForest,rolling_std_60,0.32150354482147875
AXP,RandomForest,atr_14,0.010127444442864607
AXP,RandomForest,adx_14,0.012986066786006625
AXP,RandomForest,sharpe_20,0.007391750682863364
AXP,RandomForest,sharpe_60,0.04307898597274887
AXP,RandomForest,volume_change,0.0003373347137394149
AXP,RandomForest,volume_sma_20,0.0006559794280172033
AXP,RandomForest,volume_zscore_20,0.0005879624005870968
AXP,RandomForest,dollar_volume_20,0.07726310213012492
AXP,RandomForest,obv,0.022897593745404635
AXP,RandomForest,close_to_52w_high,0.0844037813323395
AXP,RandomForest,close_to_52w_low,0.22038073510466105
AXP,RandomForest,price_position_252d,0.07101357435055049
AXP,CatBoostRegressor,return_1d,0.029534686560464242
AXP,CatBoostRegressor,return_5d,0.05505272977368007
AXP,CatBoostRegressor,return_10d,0.18120823449186674
AXP,CatBoostRegressor,return_20d,0.14499706959605838
AXP,CatBoostRegressor,log_return_1d,0.011541055976648583
AXP,CatBoostRegressor,price_change,0.03371622552558677
AXP,CatBoostRegressor,high_low_spread,0.06276035525565214
AXP,CatBoostRegressor,open_close_spread,0.010221702007413671
AXP,CatBoostRegressor,sma_5,0.0779024173634717
AXP,CatBoostRegressor,sma_10,0.07813380931581547
AXP,CatBoostRegressor,sma_20,0.3963661989637528
AXP,CatBoostRegressor,sma_50,0.3017066253988372
AXP,CatBoostRegressor,sma_100,0.7155152059414628
AXP,CatBoostRegressor,ema_12,0.11762758412794025
AXP,CatBoostRegressor,ema_26,0.29037498892759434
AXP,CatBoostRegressor,rsi_14,0.3794870786900007
AXP,CatBoostRegressor,macd,0.108877762054029
AXP,CatBoostRegressor,macd_signal,0.35047991003873763
AXP,CatBoostRegressor,macd_hist,0.7926388547749769
AXP,CatBoostRegressor,momentum_10,0.287001505170091
AXP,CatBoostRegressor,roc_10,0.15940516194804805
AXP,CatBoostRegressor,roc_20,0.1348147755148558
AXP,CatBoostRegressor,roc_60,1.4046291821997643
AXP,CatBoostRegressor,stoch_k_14,0.005749059148847396
AXP,CatBoostRegressor,stoch_d_3,0.0259487202032372
AXP,CatBoostRegressor,williams_r_14,0.04928072510833057
AXP,CatBoostRegressor,cci_20,0.40322743949416834
AXP,CatBoostRegressor,bb_percent_b_20,0.09039095724442096
AXP,CatBoostRegressor,bb_bandwidth_20,1.7386603975783042
AXP,CatBoostRegressor,donchian_pos_20,0.052682491691712484
AXP,CatBoostRegressor,rolling_std_10,0.5475503185632694
AXP,CatBoostRegressor,rolling_std_20,2.1488060487187193
AXP,CatBoostRegressor,rolling_std_60,32.73368695621118
AXP,CatBoostRegressor,atr_14,0.5743925663733849
AXP,CatBoostRegressor,adx_14,2.343725123346259
AXP,CatBoostRegressor,sharpe_20,0.3772298373909787
AXP,CatBoostRegressor,sharpe_60,2.6220043382003415
AXP,CatBoostRegressor,volume_change,0.0037073655277608053
AXP,CatBoostRegressor,volume_sma_20,0.07803229747526194
AXP,CatBoostRegressor,volume_zscore_20,0.032462495329390814
AXP,CatBoostRegressor,dollar_volume_20,12.207949066454809
AXP,CatBoostRegressor,obv,3.0489025040607354
AXP,CatBoostRegressor,close_to_52w_high,12.788037668648142
AXP,CatBoostRegressor,close_to_52w_low,18.192897075174262
AXP,CatBoostRegressor,price_position_252d,3.8106834284397255
AXP,CatBoostClassifier,return_1d,0.015164782570101598
AXP,CatBoostClassifier,return_5d,0.2852330561352227
AXP,CatBoostClassifier,return_10d,0.1610144125564332
AXP,CatBoostClassifier,return_20d,0.20889903847192312
AXP,CatBoostClassifier,log_return_1d,0.04257306254771351
AXP,CatBoostClassifier,price_change,0.011312787114137527
AXP,CatBoostClassifier,high_low_spread,0.11522541209858314
AXP,CatBoostClassifier,open_close_spread,0.010169818839494511
AXP,CatBoostClassifier,sma_5,0.2200320421724046
AXP,CatBoostClassifier,sma_10,0.19889188594217397
AXP,CatBoostClassifier,sma_20,0.2483192692333275
AXP,CatBoostClassifier,sma_50,0.8334738566129847
AXP,CatBoostClassifier,sma_100,1.2433790112081766
AXP,CatBoostClassifier,ema_12,0.2273038749287211
AXP,CatBoostClassifier,ema_26,0.3311957295361566
AXP,CatBoostClassifier,rsi_14,0.5792756085890924
AXP,CatBoostClassifier,macd,0.836345706409787
