ticker,signal,selected,expected_return_6m,expected_excess_return_6m,catboost_positive_prob,model_agreement_rate,DSTAT,risk_score,confidence_score,confidence_level
CB,BUY,True,0.0521781096695639,0.0239876757970288,0.8332670412465305,1.0,58.964143426294825,0.0545138158910721,0.8427407012580714,Very High
AAPL,BUY,True,0.0828448046532597,0.0546543707807246,0.9807480219727996,0.6666666666666666,60.55776892430279,0.1181608090603633,0.814296312545074,High
KHC,HOLD,True,0.1095868306554639,0.0813963967829288,0.9063625285752596,1.0,56.17529880478087,0.5159894110954348,0.748029002782254,High
GOOGL,BUY,True,0.0643144171129153,0.0361239832403802,0.9469890699637464,1.0,53.78486055776892,0.5131856511961992,0.7388090442480714,High
MCO,BUY,True,0.1630072638904232,0.1348168300178881,0.9125125008975264,1.0,47.80876494023904,0.1948953936572575,0.7304002965826828,High
KO,HOLD,False,0.0304829285132735,0.0022924946407384,0.1772456661929483,1.0,67.72908366533864,0.0281413408899602,0.7064077149895398,High
AXP,HOLD,False,0.071901265782478,0.0437108319099429,0.2871605415148252,1.0,58.16733067729084,0.2600634363219066,0.6024935022658077,Moderate
BAC,HOLD,False,-0.0900216059037141,-0.1182120397762491,0.2517238924417508,0.3333333333333333,52.589641434262944,0.2005533330728001,0.3793260290733861,Low
CVX,HOLD,False,-0.0647873572757219,-0.0929777911482569,0.092928393975349,0.0,66.13545816733067,0.3827598844093549,0.3399729610095012,Low
OXY,HOLD,False,-0.1376023183725908,-0.1657927522451258,0.0432843047856003,0.0,52.98804780876494,1.0,0.06714950667496017,Low
