scenario,rank,ticker,signal,sector,expected_return_6m,expected_excess_return_6m,risk_score,catboost_positive_prob,final_weight,allocated_amount_idr,expected_profit_idr,cash_buffer_weight
conservative,1,AAPL,BUY,Technology,0.0828448046532597,0.0546543707807246,0.1181608090603633,0.9807480219727996,0.2,200000000000.0,16568960930.651941,0.06157669485139472
conservative,999,CASH,CASH,Cash Buffer,0.0,0.0,0.0,1.0,0.06157669485139472,61576694851.39472,0.0,0.06157669485139472
conservative,6,CB,BUY,Insurance,0.0521781096695639,0.0239876757970288,0.0545138158910721,0.8332670412465305,0.2,200000000000.0,10435621933.912779,0.06157669485139472
conservative,4,GOOGL,BUY,Communication Services,0.0643144171129153,0.0361239832403802,0.5131856511961992,0.9469890699637464,0.1459449288019355,145944928801.9355,9386363026.482405,0.06157669485139472
conservative,2,KHC,HOLD,Consumer Staples,0.1095868306554639,0.0813963967829288,0.5159894110954348,0.9063625285752596,0.19247837634666976,192478376346.66977,21093095233.54115,0.06157669485139472
conservative,3,MCO,BUY,Financial Services,0.1630072638904232,0.1348168300178881,0.1948953936572575,0.9125125008975264,0.2,200000000000.0,32601452778.084637,0.06157669485139472
