Date,selected_monthly_rebalance_equity,universe_equal_weight_equity
2021-01-05,0.9951704890192173,1.0105747604947193
2021-01-06,0.996049927367499,1.0252651227348357
2021-01-07,1.0059596807238815,1.0340835638607155
2021-01-08,1.0084815551344202,1.0352838749661695
2021-01-11,0.9900857620777752,1.0257555444911104
2021-01-12,0.9851895733155753,1.0402635431137173
2021-01-13,0.9892378337867979,1.0411196941488858
2021-01-14,0.9816838929739561,1.049443398394114
2021-01-15,0.973294114996439,1.0276754297731852
2021-01-19,0.9851479759951419,1.0424772516532592
2021-01-20,1.010370380038147,1.057354675874729
2021-01-21,1.0159843904346744,1.0472429828207757
2021-01-22,1.0119103099501379,1.0418120109080324
2021-01-25,1.0229611017738176,1.0418689025934724
2021-01-26,1.0269515609279292,1.0327163297622917
2021-01-27,1.0066038109900057,1.015029306995076
2021-01-28,1.0070294754004814,1.0253182088259178
2021-01-29,0.9891756557605589,1.000786207120988
2021-02-01,1.004577805089207,1.014040440919163
2021-02-02,1.0171660146289787,1.0306530673088026
2021-02-03,1.0326035182741597,1.04834192900872
2021-02-04,1.0489255928923367,1.0654595691646918
2021-02-05,1.0573382214574218,1.0734280739060889
2021-02-08,1.0636286704727895,1.0974667166516259
2021-02-09,1.0609348534367082,1.0899320531306576
2021-02-10,1.0578159227145556,1.0956133098922376
2021-02-11,1.0713298307675037,1.1006485156140833
2021-02-12,1.0692744624597197,1.1056505379691497
2021-02-16,1.0690592120311602,1.1154344077942298
2021-02-17,1.0786436981539402,1.12324983726551
2021-02-18,1.0833456931995307,1.1191822338065975
2021-02-19,1.0748024607340871,1.1188271291315441
2021-02-22,1.0658467095997792,1.128550644533595
2021-02-23,1.0650667421236786,1.1296211400245675
2021-02-24,1.0742392548605915,1.1533091550165884
2021-02-25,1.0497112087822942,1.1283245838235019
2021-02-26,1.0409660836906653,1.1124603107303452
2021-03-01,1.0730193933827208,1.1445395421135973
2021-03-02,1.0686316292353848,1.1434550165950779
2021-03-03,1.0591704349396656,1.1484623813734198
2021-03-04,1.052008595397023,1.1513619647871691
2021-03-05,1.0787417327144264,1.1831387703539091
2021-03-08,1.0687014828080572,1.1778975305125308
2021-03-09,1.079427528096828,1.1707455324887324
2021-03-10,1.084788990722824,1.1846046860566148
2021-03-11,1.08963500311809,1.192701060482552
2021-03-12,1.0851411735252265,1.191934279106011
