scenario,gross_expected_return_6m,round_trip_cost_rate,net_expected_return_6m,net_projected_profit_idr
5 bps fee + 5 bps slippage,0.09954733930875549,0.002,0.09754733930875549,97547339308.7555
10 bps fee + 10 bps slippage,0.09954733930875549,0.004,0.09554733930875549,95547339308.7555
25 bps fee + 25 bps slippage,0.09954733930875549,0.01,0.0895473393087555,89547339308.7555
50 bps fee + 50 bps slippage,0.09954733930875549,0.02,0.07954733930875549,79547339308.7555
