Date,Open,High,Low,Close,Volume,Ticker
2018-01-02,127.18574973861828,127.7503713940224,122.82519096885709,123.60697174072266,1986500,CB
2018-01-03,123.26819021036832,125.20524560052326,123.13788680251577,124.57982635498048,2675400,CB
2018-01-04,124.7448809966348,126.2389367495683,124.51034544414142,125.08364868164062,1935500,CB
2018-01-05,125.39632479500202,125.91751182684824,124.02387798185462,125.30945587158205,1629100,CB
2018-01-08,124.70141202982649,124.8577734396846,123.35502325515512,124.67535400390624,1556100,CB
2018-01-09,124.8577520293202,127.011965746792,124.09334805517383,126.6905746459961,2208600,CB
2018-01-10,126.41264008188296,126.6732336235818,125.90882943575534,126.20416259765624,1541600,CB
2018-01-11,126.15205278653718,126.716674363898,124.95334364231,125.51795196533205,1428600,CB
2018-01-12,125.69169644317004,126.66457831711232,124.79700192599928,126.50821685791016,1357400,CB
2018-01-16,126.78615265713854,126.96855884688628,125.67428606511936,126.53424072265624,1867800,CB
2018-01-17,127.2726003292738,128.40183022286251,126.62980466570149,128.15859985351562,1729100,CB
2018-01-18,128.16725561532238,128.82741426126776,127.1943741976294,128.2888641357422,1327400,CB
2018-01-19,128.5668752899257,128.81878728108694,127.6461227800872,128.73191833496094,1475000,CB
2018-01-22,129.02722650641664,130.13909313283668,128.8969363668514,130.11302185058594,1436600,CB
2018-01-23,130.1217418323722,133.93505528755776,130.07830735934743,133.1532745361328,3036100,CB
2018-01-24,133.04032012829035,134.9686935027068,132.52782796460085,134.62123107910156,2113600,CB
2018-01-25,134.5604101642254,134.89048284163798,133.1532107871136,134.47354125976562,1641700,CB
2018-01-26,134.60384500975792,135.42904658720138,133.98710759669277,135.33349609375,1311400,CB
2018-01-29,135.07299031880694,135.34226554215604,133.70922450462908,133.874267578125,1334700,CB
2018-01-30,133.71789551852154,135.11640071525682,132.84056423249706,132.9534912109375,2203700,CB
2018-01-31,134.0739930229769,136.81019155228844,133.63967495455697,135.6375274658203,3363800,CB
2018-02-01,135.36829741200793,136.2890499026369,134.2738202870916,135.0555877685547,2088100,CB
2018-02-02,134.68206302947283,135.8894669747992,132.98822486938735,133.11851501464844,1469100,CB
2018-02-05,132.89268470876658,133.47466949355095,127.31604073293096,127.99357604980467,2327600,CB
2018-02-06,125.9522402428687,127.76768659360468,122.86857929640033,126.71664428710938,3348700,CB
2018-02-07,126.4734853057624,129.98277108934835,125.85674753152472,128.14126586914062,3102300,CB
2018-02-08,128.25411593808957,128.5755203107309,121.8783300916982,121.94782257080078,2266000,CB
2018-02-09,123.0509937891568,126.46472731899954,121.68722874251613,125.53529357910156,3508400,CB
2018-02-12,125.9348860600998,127.06411589197656,123.76329532738988,125.61349487304688,2205800,CB
2018-02-13,124.87514220994886,126.40395048882556,124.52769301256994,126.05648803710938,1387800,CB
2018-02-14,125.5179847095096,128.00228583670193,124.90994175970911,127.94147491455078,1989100,CB
2018-02-15,128.31494393663945,129.06197161867868,127.06410565468192,127.75033569335938,1783100,CB
2018-02-16,127.42896634700936,128.6450653466282,126.86435794834598,127.68955993652344,1514300,CB
2018-02-20,127.59394647805908,128.26279993531617,125.55264649684187,126.3344268798828,1270500,CB
2018-02-21,126.41266106163094,127.4637169943281,124.79699674016426,124.8404312133789,1581300,CB
2018-02-22,125.08362801448256,126.20416301687018,123.97177460358978,124.27580261230467,1996700,CB
2018-02-23,124.45817689755226,125.09227752685548,123.51136674823172,125.09227752685548,1386400,CB
2018-02-26,125.2487194881184,127.38555820428012,125.10973444440324,126.94255828857422,1803200,CB
2018-02-27,126.91639077314136,127.32465070293009,125.24861145019533,125.24861145019533,1739400,CB
2018-02-28,125.67426342281784,126.53421792541968,123.1986585133303,123.2768325805664,1315300,CB
2018-03-01,123.3724352796912,124.5190417682891,120.8968160684351,121.44406127929688,1377000,CB
2018-03-02,120.77519199611916,121.62646516029795,119.4288162601667,121.48748016357422,1784600,CB
2018-03-05,121.183442453141,123.76329326087075,120.83599324344408,122.96414947509766,1357000,CB
2018-03-06,123.1291743159508,123.53743436697488,121.95651021120744,123.2855224609375,1176300,CB
2018-03-07,122.3040164480076,122.59934966391916,121.23559731142122,122.16503143310548,1462700,CB
2018-03-08,122.26924114686554,123.63300650363333,121.80018337550668,123.26818084716795,1247700,CB
2018-03-09,123.9804766799692,125.08364868164062,122.63408753287511,125.08364868164062,1569000,CB
2018-03-12,125.2486262340808,126.0217117394225,123.49397781304675,124.29312133789062,1149000,CB
2018-03-13,125.21393722302692,125.3529222341342,123.14659151375186,123.29425811767578,1307400,CB
2018-03-14,123.9544056173669,123.9544056173669,121.77413313067196,122.26924896240234,1354000,CB
2018-03-15,122.51246212420077,123.70250290898782,122.19975251529635,122.52983856201172,1378700,CB
2018-03-16,122.62539306533128,123.8154206343736,121.80887276813706,122.4603500366211,2699500,CB
2018-03-19,122.31268207806332,122.91204327905822,121.1487125524337,121.86968231201172,1414900,CB
2018-03-20,122.3474237921429,123.37240822749558,121.28768648360068,122.75568389892578,1197200,CB
2018-03-21,123.06838474726304,123.12919565040728,121.80018317040071,121.83492279052734,1068000,CB
2018-03-22,121.28765730348256,122.1562933635133,119.33322616841332,119.55906677246094,1543100,CB
2018-03-23,119.6285941041448,120.00210135670686,116.72735199934309,116.89239501953124,1940000,CB
2018-03-26,118.21266944444604,119.48956541815492,117.4482787813664,119.0205078125,1435100,CB
2018-03-27,119.35932952669758,120.43643016748204,118.16928865948908,118.74259185791016,1621800,CB
2018-03-28,119.22287484394596,121.36215646902195,118.3322491774838,120.7247314453125,1599300,CB
2018-03-29,120.9604217443604,121.16124741712208,119.39745094584656,119.42364501953124,1664600,CB
2018-04-02,119.31012675832362,119.62446896152896,114.5076845737367,116.39373779296876,3329800,CB
2018-04-03,116.53343444601612,118.11387218939232,116.21909228044984,117.94796752929688,1589000,CB
2018-04-04,116.3762785233734,119.126762995175,115.52930123298874,118.9084701538086,1565400,CB
2018-04-05,119.2839444757464,119.75545116539251,118.23614146933647,118.55048370361328,1573300,CB
2018-04-06,117.8607182616302,119.35384780606591,116.49857247290622,117.1185302734375,1721800,CB
